product_id,shop_id,product_name,ingredient,feature,skin_type,capacity,design,brand,expiry,origin
36,32,"Sữa rửa mặt dưỡng ẩm, ngừa mụn, làm sáng da ý dĩ Hatomugi Nhật Bản 130g, 170g  [xanh - trắng]","myristic acid, stearic acid, peg 8, potasium lauric acid, palmitic acid, glyceryl, glyceryl stearate se, glycol, cetyl alcohol, coix ma yuen sed extract, butylene glycol, aloe leaf extract, prunus persica peach leaf extract, cetyl pg, camelia japonica sed oil, edta, citric acid, sodium","cấp ẩm và dưỡng da tự nhiên, cải thiện là da khô ráp, ngăn ngừa mụn hiệu quả, làm săn chắc da, giúp làm lành các vết thương trên da, ngăn ngừa mụn trứng cá, khống chế lượng dầu se, khít lỗ chân lông, ngăn ngừa lão hóa và dễ dàng thẩm thấu, bảo vệ da khỏi ánh nắng mặt",mọi loại da,130 g,,hatomugi,,nhật bản
37,33,Sữa Rửa Mặt BIOAQUA Vị Đào Tạo Bọt Nhẹ Nhàng Làm Sạch Dưỡng Ẩm Và Làm Trắng 100gr,,"giải quyết tất cả các vấn đề về da mụn, dịu mụn sưng đỏ, hạn chế mụn mọc trở lại, chống nhờn, cân bằng độ ẩm trên da, làm mờ các vết thâm do mụn gây ra, làm sạch da nhẹ nhàng nhưng hiệu quả","phù hợp với những làn da da dầu, da hỗn hợp, da mụn và da nhạy cảm dễ bị mụn",,,bioaqua,,
38,34,Sữa Rửa Mặt 3W Clinic Mẫu Mới Hot,chiết xuất chủ yếu từ trà xanh với thành phần chống oxy hóa,"làm sạch da và diệt khuẩn, giảm vùng da bị mụn nám tàn nhang đồi mồi",,10 ml,,3 w clinic,,
39,35,Sữa rửa mặt dạng Gel Decumar Advanced kiểm soát nhờn mụn hoàn toàn mới,"siêu nghệ nano, lá chanh sim, chiết xuất lá nem, chiết xuất lô hội","làm sạch nhẹ nhàng, ngăn ngừa vi khuẩn gây mụn, kiểm soát dầu nhờn, giữ ẩm cho da","mọi loại da, đặc biệt là da dầu và da nhạy cảm, không dị ứng với nghệ",,,decumar,3 năm kể từ ngày sản xuất,"sản xuất tại công ty cổ phần dược mỹ phẩm cvi, lô đất khu công nghiệp công nghệ cao 1, khu công nghệ cao hòa lạc, km 29 đại lộ thăng long, xã thạch hòa, huyện thạch thất, tp hà nội"
40,36,Sữa rửa mặt nhau thai cừu tế bào gốc nhật 130gr,"chiết xuất từ nhau thai cừu, hơn 12 hoạt chất chiết xuất từ thực vật, vitamin và khoáng chất","dưỡng trắng và làm sáng da, giúp da luôn hồng hào căng mịn, cải thiện tình trạng thô ráp da, giữ ẩm, giảm mụn và thâm nám, cân bằng ph da, se khít lỗ chân lông, giảm vết đồi mồi, đốm sâu, tàn nhang",,,,chantele sydney careline,,nhật bản
41,37,Sữa rửa mặt bơ thái,"bơ tự nhiên, thành phần chống oxi hóa","làm sạch bụi bẩn và các tạp chất trên da, giúp da sạch ngăn ngừa mụn nám",mọi loại da,,,,,
42,38,sửa rửa mặt đông y 100ml,,trắng sáng da nhanh chóng,,,,cherries,,việt nam
43,39,Sữa rửa mặt nhau thai cừu,,"giúp trẻ hóa và tăng độ đàn hồi cho da, se khít lỗ chân lông, giúp da mịn màng và căng bóng, làm dịu da sau khi lăn kim pel da đi laser bắn co2, khôi phục và tái tạo da bị tổn thương nhanh chóng",,,,kissing cat,,
44,40,"Sữa rửa mặt misswhite mụn, thâm",nghệ tươi,"ngăn ngừa mụn, làm mờ vết thâm",,,,,,
45,41,Sữa rửa mặt giảm mụn cho da dầu Obagi Clenziderm MD Daily Care Foaming Cleanser 118ml,"acid 2, butyl cetyl disodium edta, menthol, sodium laureth, sodium lauryl, ext violet 2, ci water","làm sạch sâu, loại bỏ dầu bụi bẩn và lớp trang điểm, giúp da thấm sâu các sản phẩm điều trị mụn ở bước tiếp theo, tẩy tế bào chết và ngăn ngừa mụn quay trở lại",,,"sữa rửa mặt dạng kem, đóng trong tuýp nhựa",obagi md,3 năm kể từ ngày sản xuất,mỹ
46,33,Sữa Rửa Mặt Nhau Thai Cừu 130g,nhau thai cừu,"dưỡng trắng và làm sáng da, sạch sâu từ bên trong, ngăn ngừa vi khuẩn có hại, làm dịu vết thương do mụn, giảm thâm nám, cân bằng ph cho da, cải thiện tình trạng thô ráp da, giữ ẩm",,,,,,
47,42,Sữa rửa mặt đầu cọ tạo bọt Seimy - Face Cleanser Foam Collagen,cung cấp colagen chống lão hóa và kết hợp đầu cọ silicon đa năng,sạch sâu bên trong da gấp 5 lần nâng cơ chống lão hóa giảm mụn đầu đen mụn cám thu nhỏ lỗ chân lông,,,thiết kế đầu cọ tiện dụng giúp chị em tiết kiệm tối đa trong việc skincare mỗi ngày,seimy,,viêt nam
48,43,Sữa Rửa Mặt Cetaphil Gentle Skin Cleanser 473ml.,"chứa các loại cồn béo như glycol, cetyl alcohol, stearyl alcohol","loại bỏ bụi bẩn một cách nhẹ nhàng, không gây khô da, giúp làn da duy trì độ ẩm tự nhiên, giúp duy trì hàng rào bảo vệ da","dành cho mọi loại da, kể cả da người trưởng thành, da khô, da dầu, da mẫn đỏ, da nhạy cảm và da của trẻ sơ sinh","có các loại dung tích 59 ml, 125 ml, 250 ml, 50 ml",,cetaphil,3 năm kể từ ngày sản xuất,canada
49,44,"Sữa rửa mặt CERAVE , da dầu, da mụn, da khô,, mọi loại da. dung tích 236ml","các thành phần giữ ẩm, acid, acid béo","lấy đi bụi bẩn dầu thừa tàn dư của lớp make up mà không làm tổn hại đến lớp màng ẩm của da, giúp duy trì lớp màng bảo vệ da khỏe mạnh để làn da có thể chống lại những tác hại từ môi trường bên ngoài, tránh vi khuẩn xâm nhập vào da, sạch nhưng vẫn mềm mịn","da dầu, da khô",236ml,check mark button,cerave,,
50,45,[Mã COSACD10 giảm 10% đơn 600K] Gel rửa mặt tạo bọt cho da dầu nhạy cảm La RochePosay 400ml,"zinc pca, nước khoáng thermal spring water","giảm nhờn, điều trị mụn, làm sạch da từ sâu trong lỗ chân lông, loại bỏ bụi bẩn cùng dầu thừa, giữ độ ph luôn ở mức cân bằng 5 5",da dầu và da mụn nhạy cảm,40 ml,"dạng gel, dễ dàng tạo bọt",la roche posay,03 năm kể từ nsx,pháp
51,46,Sữa Rửa Mặt HadaLabo Advanced Nourish Hyaluron Cleanser 80g,water sodium cocoyl butylene glycol betaine starch peg 20 m lauryl sodium lauroyl potasium cocoyl sodium stearoyl sodium,giúp làm sạch sâu dịu nhẹ dưỡng da ẩm mịn giúp giảm tình trạng mất nước củng cố màng ẩm tự nhiên bảo vệ da,phù hợp với mọi loại da,80 g,,hadalabo,4 năm kể từ ngày sản xuất nsx được in trên bao bì sản phẩm,nhật bản sản xuất tại việt nam
52,1,Sữa Rửa Mặt Cho Nam Skin&Dr Than Hoạt Tính 100g - Trắng da kiềm dầu,"thiên nhiên, acid quả lựu, rau sâm, bí đỏ, gạo yến mạch, chiết xuất lên men từ thực vật, lên men từ ngô và các thảo dược","trắng da, kiềm dầu, ngừa mụn, loại bỏ tế bào chết, làm sạch sâu, thẩm thấu dưỡng da sâu, mềm mịn da",,10 g,,skin dr,2 năm kể từ ngày sản xuất,hàn quốc
53,0,Sữa rửa mặt Hazeline Chiết Xuất Thiên Nhiên 100g,nghệ hoa cúc kết hợp các chiết xuất nguồn gốc thiên nhiên cùng thành phần ngừa mụn hazeline,làm sạch dầu thừa và bụi bẩn sâu bên trong giúp giảm mụn dần sau 3 ngày mà vẫn dịu nhẹ cho da,,,,sparkles,hsd 2 năm,việt nam
54,47,Sữa rửa mặt nam RHYS MAN hương dừa Rhys Coconut Fresh 100ml,"chiết xuất lô hội, dầu dừa, tinh dầu bạc hà","làm sạch da, giảm nhờn, giữ ẩm, giảm mụn, se nhỏ lỗ chân lông, dưỡng ẩm và làm sáng da, loại sạch bụi bẩn và bã nhờn",,10 ml,,rhys man,2 năm kể từ ngày sản xuất,việt nam
55,48,"Sữa rửa mặt nam 30Shine phân phối chính hãng Skin&dr Tràm trà 80g cho da mụn, da dầu, dưỡng ẩm trắng da",chiết xuất từ cây tràm trà chứa axit và glycolic từ cây đu đủ chứa axit aha bh,"làm sạch da sâu, giúp da sáng đều màu và khỏe mạnh rạng rỡ, cân bằng ph cho da, hỗ trợ tái tạo làn da mới mịn màng tươi sáng, điều tiết dầu nhờn, giúp da thoáng sạch se khít lỗ chân lông, cấp ẩm duy trì sự mềm mại cho da, ngăn chặn khô bong tróc, có khả năng làm sạch lớp trang điểm trên da",cho da mụn da dầu,10 g,,skin dr,2 năm kể từ ngày sản xuất,hàn quốc
56,28,Sữa rửa mặt Gamaphil 125ml 150ml và 500ml,,"dùng để vệ sinh da hàng ngày đặc biệt dành cho da nhạy cảm với người lớn, rửa mặt hoặc tắm hàng ngày, tẩy trang làm sạch da trước khi thoa thuốc điều trị các bệnh lý về da, tắm khô cho các sản phụ mới sinh, người cao tuổi hay các bệnh nhân sau phẩu thuật, dùng để tắm hàng ngày cho trẻ để ngăn ngừa tình trạng da bị rôm sảy hăm ha ngứa da rất hiệu quả",nhạy cảm,,,gamaphil,,
57,49,Sữa Rửa Mặt Cosrx Low Ph 150ml,công thức không chứa dầu,"nhẹ nhàng làm sạch da lấy đi bụi bẩn cùng bã nhờn dư thừa, mang lại làn da với lỗ chân lông thông thoáng, giảm nguy cơ hình thành mụn trứng cá và mụn đầu đen","da thường, da hỗn hợp, da dầu, mụn và da nhạy cảm",150 ml,"chất liệu vỏ bình là nhựa cao cấp bền đẹp, thiết kế tiện lợi, dễ sử dụng",simple,,
58,50,🇯🇵 SỮA RỬA MẶT NHAU THAI CỪU NHẬT BẢN,chiết xuất chính đến từ các chất dinh dưỡng có trong nhau thai cừu,"làm trắng da vượt trội, tẩy tế bào chết nhẹ nhàng, giúp da sáng khẻ rạng ngời, làm mờ các vết nám thâm và tàn nhang hiệu quả, dưỡng ẩm sâu, ngăn ngừa lão hóa, tăng độ đàn hồi hóa làn da",,,,,,
59,51,Sữa rửa mặt Wonder Bath PHA 5.5 tạo bọt dịu nhẹ - phù hợp ngay cả da nhạy cảm 130ml,chiết xuất 98 có nguồn gốc từ thiên nhiên,"làm sạch da một cách dịu nhẹ, cân bằng độ ph trên da, tạo lớp màng dưỡng ẩm",khỏe mạnh,130 ml,"kết cấu dạng kem, tạo bọt tốt, lớp bọt bông mịn",byvibes,xem trên bao bì,hàn quốc
60,12,Sữa rửa mặt sâm đỏ hàn quốc,"panax ginseng rot extract, water, grape sed oil, sage leaf extract, linearis, four leaf clover","làm sạch da, loại bỏ bụi bẩn và lớp trang điểm, dưỡng ẩm, chống lại các gốc tự do dẫn đến tình trạng lão hóa da",,130 ml,,my gold,,hàn quốc
61,52,Sữa rửa mặt dưỡng ẩm sáng da Hazeline yến mạch dâu tằm,các hoạt chất thiên nhiên,"loại bỏ bụi bẩn và cặn trang điểm, giảm ma sát, làm trắng sáng da",,,,hazeline,3 năm kể từ ngày sản xuất,sản xuất tại việt nam
62,53,[Bạn mới nhập COSHBM -50% đơn 0Đ] Gel Rửa Mặt Compliment No Problem Cho Da Nhờn Mụn,dầu cây trà,"làm sạch sâu, chăm sóc chất lượng cho làn da có vấn đề, thu hẹp lỗ chân lông, ngăn ngừa vi khuẩn và bóng nhờn trên khuôn mặt",da nhạy cảm,20 ml,"có nắp chai to, dễ ra gel lung tung khi dùng",timex,36 tháng sau ngày sản xuất,nga
63,54,"Sữa rửa mặt DAILY EFFECT - Làm sạch bụi bẩn, dầu nhờn, cân bằng độ pH cho Da, ngăn ngừa mụn",chiết xuất từ khổ qua rừng và rau diếp cá,"làm sạch bụi bẩn dầu nhờn, cân bằng ph da, không làm khô da, giảm viêm sưng tấy, hạn chế tối đa các tác nhân gây mụn, cải thiện làn da sạch mịn và khỏe hơn",phù hợp với mọi loại da kể cả da nhạy cảm,,,daily efect,3 năm kể từ ngày sản xuất,
64,55,Sữa Rửa Mặt Trắng Da Oriskin Cleanser Moisturizing 100ml,thành phần lành tính ít bọt,giúp loại bỏ bụi bẩn kiểm soát bã nhờn trên bề mặt da chống lão hóa dưỡng ẩm làm dịu da hỗ trợ ngăn ngừa mụn,phù hợp cho các làn da nhạy cảm,60 ml,,oriskin,hsd 3 năm kể từ ngày sản xuất nsx xem trên bao bì sản phẩm,sản xuất và đóng gói việt nam công nghệ nhật bản nano liposome
65,43,"[ Nhập Pháp ] Sữa Rửa Mặt Cerave Foaming Facial Cleanser Dành Cho Da Dầu, Da Khô",,"làm sạch da, phục hồi và duy trì các chức năng bảo vệ tự nhiên của da, hạn chế tình trạng vi khuẩn xâm nhập vào da, không làm tổn hại đến lớp màng ẩm của da, giữ da mềm mịn, hỗ trợ trắng da, ngừa lão hóa và mụn",dành cho da dầu và da khô,,"chất sữa dạng gel trong lỏng không mùi, thích hợp cho da nhạy cảm, tạo bọt khi đánh lên",cerave,,mỹ
66,56,Sữa rửa mặt Hồng sâm Hàn Quốc My Gold[Hàng chuẩn nắp đỏ],"hồng sâm hàn quốc, cây dâu tằm và cây hoa trà","làm sạch và loại bỏ chất thải cặn bã nhờn, giúp thoáng lỗ chân lông, duy trì sự đàn hồi cho làn da, giúp làn da mềm mại, cung cấp các dưỡng chất giúp làn da trẻ hóa, cải thiện các tế bào hư tổn dưới da, tái tạo lớp màng bảo vệ da khỏi những tác nhân ngoài môi trường, ngăn ngừa mụn cám tàn nhang",,130 ml,hộp,my gold,,hàn quốc
